RUA BAHIA                                                               AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23811150 
RUA ALAGOAS                                                             AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820020 
RUA AMAZONAS                                                            AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820040 
RUA CRUZEIRO                                                            AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820170 
ESTRADA FACÃO                                                           AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820210 
RUA GLÓRIA                                                              AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820250 
RUA GOIÁS                                                               AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820260 
AVENIDA PANORÂMICA                                                      AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820550 
RUA PARAÍBA                                                             AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820560 
RUA PARNAÍBA                                                            AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23820570 
RUA MARANHÃO                                                            AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23821750 
RUA MATO GROSSO                                                         AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23821770 
RUA MINAS GERAIS                                                        AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23821780 
RUA PARÁ                                                                AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23821830 
RUA ELZA ROSA MARTINS                                                   AMENDOEIRA                                                              ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23822520 
ESTRADA ÁGUAS LINDAS                                                    ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23835580 
RUA CABRAL                                                              ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23835750 
RUA CONTORNO                                                            ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836020 
RUA CORRETOR LARGO PORTELA                                              ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836060 
ESTRADA DNER                                                            ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836090 
RUA DOMINGOS DE BRITO                                                   ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836100 
RUA JOSÉ GRAÇA LEITE                                                    ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836370 
RUA LAGOA                                                               ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836390 
RUA MADUREIRA                                                           ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836410 
RUA MARIA DA GRAÇA                                                      ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836450 
RUA MARIA HELENA                                                        ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836460 
RUA MONTE CASTELO                                                       ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836490 
RUA PAU FERRO                                                           ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836540 
RUA PEDREIRA                                                            ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836550 
PRAÇA SETE DE SETEMBRO                                                  ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836650 
RUA BELVEDERE                                                           ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836680 
RUA VIÚVA GRAÇAS                                                        ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836685 
RODOVIA PRESIDENTE DUTRA                                                ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836700 
ESTRADA RIO-SÃO PAULO                                                   ÁGUAS LINDAS                                                            ITAGUAÍ                                                                 RIO DE JANEIRO                                                          RJ23836710 
AVENIDA ALMIRANTE JÚLIO CÉSAR DE NORONHA                                CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900010 
RUA JOEL RUBIÃO MOREIRA                                                 CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900020 
AVENIDA OSWALDO NEVES MARTINS                                           CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900030 
RUA VEREADOR AÍRTON DE BRITO                                            CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900040 
RUA DOUTOR ÁLVARO PESSOA                                                CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900050 
LARGO BORGES DE CARVALHO                                                CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900060 
PRAÇA MARQUÊS DE TAMANDARÉ                                              CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900070 
RUA DOUTOR BASTOS                                                       CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900080 
PRAÇA RAUL POMPÉIA                                                      CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900090 
RUA TEIXEIRA BRANDÃO                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900100 
LARGO DA LAPA                                                           CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900110 
RUA ANTÔNIO CARVALHO DE MIRANDA                                         CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900120 
PRAÇA CHEFE COTTA                                                       CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900130 
RUA JÚLIO HONORATO FILHO                                                CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900140 
TRAVESSA REMÍGIO VARGAS                                                 CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900150 
RUA ARCEBISPO SANTOS                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900160 
RUA ONZE DE JUNHO                                                       CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900170 
RUA TRÊS DE OUTUBRO                                                     CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900180 
TRAVESSA GUILHERME BRIGGS                                               CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900190 
RUA JOSÉ RIEGERT                                                        CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900200 
RUA HONÓRIO LIMA                                                        CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900211 
RUA HONÓRIO LIMA                                                        CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900215 
RUA PRESIDENTE CASTELO BRANCO                                           CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900220 
PRAÇA DUQUE DE CAXIAS                                                   CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900230 
PRAÇA GUARDA MÁRIO GREENHALGH                                           CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900240 
TRAVESSA DESEMBARGADOR VENTURA                                          CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900250 
PRAÇA NILO PEÇANHA                                                      CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900260 
TRAVESSA LEGIÃO DA BOA VONTADE                                          CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900270 
RUA PROFESSOR LIMA                                                      CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900280 
RUA QUARESMA JÚNIOR                                                     CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900290 
RUA CÔNEGOS DOS BITTENCOURT                                             CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900300 
RUA CORONEL CARVALHO                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900310 
RUA CORONEL CARVALHO                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900315 
RUA DESEMBARGADOR ALTENFELDER SILVA                                     CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900320 
TRAVESSA ALFREDO PIRES                                                  CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900330 
RUA FRANCISCO PEREIRA ROCHA                                             CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900340 
RUA SÃO BERNARDINO DE SENA                                              CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900350 
LADEIRA SÃO BERNARDINO DE SENA                                          CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900360 
RUA DOUTOR MOACIR DE PAULA LOBO                                         CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900370 
RUA JAURES PORTUGAL DE VASCONCELOS                                      CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900380 
RUA DOUTOR LÉO CORRÊA DA SILVA                                          CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900390 
AVENIDA RAUL POMPÉIA                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900415 
PRAÇA CODRATO DE VILHENA                                                CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900420 
AVENIDA RAUL POMPÉIA                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900425 
RUA DA CONCEIÇÄO                                                        CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900435 
RUA DA CONCEIÇÄO                                                        CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900437 
RUA PEREIRA PEIXOTO                                                     CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900440 
PRAÇA GENERAL SILVESTRE TRAVASSOS                                       CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900450 
TRAVESSA DOUTOR LOUZADA                                                 CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900460 
TRAVESSA JORDÃO GALINDO                                                 CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900470 
TRAVESSA ALMIRANTE BRASIL                                               CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900480 
PRAÇA LOPES TROVÃO                                                      CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900490 
AVENIDA JÚLIO MARIA                                                     CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900502 
AVENIDA JÚLIO MARIA                                                     CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900504 
PRAÇA AMARAL PEIXOTO                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900510 
CAIS SANTA LUZIA                                                        CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900520 
LARGO DA ENSEADA SANTA LUZIA                                            CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900530 
ALAMEDA INDÚSTRIA                                                       CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900540 
TRAVESSA VEREADOR VILLAS BOAS                                           CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900550 
RUA COMÉRCIO                                                            CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900560 
RUA COMÉRCIO                                                            CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900563 
RUA COMÉRCIO                                                            CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900565 
RUA COMÉRCIO                                                            CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900567 
TRAVESSA SANTA LUZIA                                                    CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900570 
RUA DONA ANTÔNIA DE VILHENA                                             CENTRO                                                                  ANGRA DOS REIS                                                          RIO DE JANEIRO                                                          RJ23900580 
